payment_id,invoice_id,payment_date,amount,payment_source
PAY-0017021,INV-2025-017326,2026-01-23,2909.74,ACH
PAY-0005817,INV-2024-005902,2024-05-24,4737.50,ACH
PAY-0012293,INV-2025-012511,2025-06-10,2548.02,Wire
PAY-0005732,INV-2024-005816,2024-11-11,4606.64,Check
PAY-0012125,INV-2025-012338,2026-01-23,3038.56,ACH
PAY-0018539,INV-2024-018873,2025-02-20,2571.12,ACH
PAY-0005829,INV-2025-005916,2025-06-06,4611.06,Check
PAY-0013925,INV-2025-014174,2025-12-04,3662.41,ACH
PAY-0003219,INV-2025-003260,2026-04-02,6070.79,ACH
PAY-0004083,INV-2026-004144,2026-04-15,6676.88,ACH
PAY-0006593,INV-2024-006696,2024-10-25,12262.05,ACH
PAY-0004161,INV-2024-004222,2024-08-20,3569.93,ACH
PAY-0019368,INV-2024-019713,2025-01-23,4309.44,ACH
PAY-0013503,INV-2024-013746,2024-07-18,4048.27,ACH
PAY-0015529,INV-2026-015815,2026-04-03,2215.39,Check
PAY-0018399,INV-2025-018731,2025-12-16,2930.97,ACH
PAY-0014763,INV-2024-015030,2024-08-23,4675.03,ACH
PAY-0006290,INV-2026-006390,2026-04-21,2624.59,Check
PAY-0003698,INV-2026-003747,2026-04-17,3225.86,ACH
PAY-0013363,INV-2026-013602,2026-04-10,10576.40,Wire
PAY-0013872,INV-2025-014119,2025-07-22,4502.26,Check
PAY-0001989,INV-2024-002013,2024-09-11,7401.17,ACH
PAY-0010884,INV-2026-011078,2026-03-18,2674.79,ACH
PAY-0018047,INV-2026-018370,2026-04-07,1860.58,ACH
PAY-0002550,INV-2024-002578,2024-08-02,4414.79,ACH
PAY-0004160,INV-2024-004221,2024-07-24,100.00,ACH
PAY-0008471,INV-2025-008625,2025-04-17,8538.36,Check
PAY-0009050,INV-2025-009214,2025-05-16,6405.39,ACH
PAY-0003638,INV-2025-003685,2025-10-22,2685.90,Card
PAY-0019311,INV-2025-019655,2025-07-18,8198.40,ACH
PAY-0007257,INV-2024-007378,2024-09-27,1341.07,ACH
PAY-0006614,INV-2025-006717,2025-07-11,6531.93,ACH
PAY-0007553,INV-2024-007687,2024-06-21,8272.11,ACH
PAY-0002898,INV-2024-002933,2025-01-03,2278.37,ACH
PAY-0005836,INV-2025-005923,2025-12-05,3682.67,Card
PAY-0016377,INV-2024-016667,2025-01-29,3376.41,ACH
PAY-0005204,INV-2024-005280,2025-02-05,13344.32,ACH
PAY-0007297,INV-2024-007418,2025-03-07,3209.29,Check
PAY-0015100,INV-2024-015372,2025-04-11,7475.78,Card
PAY-0016272,INV-2025-016562,2025-04-16,6766.40,Wire
PAY-0003118,INV-2026-003159,2026-03-20,4689.34,Check
PAY-0012596,INV-2024-012818,2024-12-26,6708.88,Check
PAY-0010192,INV-2025-010377,2025-11-19,10256.10,Check
PAY-0007494,INV-2025-007626,2025-09-23,3100.12,Card
PAY-0008468,INV-2024-008622,2024-07-10,8563.91,ACH
PAY-0013098,INV-2026-013334,2026-04-15,4708.93,Card
PAY-0010713,INV-2025-010903,2026-01-26,5616.04,ACH
PAY-0013871,INV-2025-014118,2025-06-20,3412.89,ACH
PAY-0013723,INV-2024-013969,2024-06-24,5812.91,ACH
PAY-0018540,INV-2024-018874,2025-04-04,5799.28,Check
PAY-0014316,INV-2024-014575,2025-04-11,3207.78,ACH
PAY-0015406,INV-2024-015685,2025-03-26,2994.46,ACH
PAY-0002482,INV-2026-002510,2026-03-31,4295.44,ACH
PAY-0013916,INV-2024-014163,2024-10-11,2466.32,Card
PAY-0004319,INV-2026-004382,2026-04-03,1979.56,ACH
PAY-0016675,INV-2025-016972,2025-10-24,4624.85,ACH
PAY-0011488,INV-2025-011693,2025-07-14,13294.02,ACH
PAY-0014765,INV-2024-015032,2025-04-11,14803.50,ACH
PAY-0005730,INV-2024-005814,2024-06-13,4587.99,Card
PAY-0007422,INV-2024-007547,2024-11-21,4388.43,ACH
PAY-0018073,INV-2025-018398,2025-08-20,2919.50,ACH
PAY-0003628,INV-2024-003672,2024-11-05,585.07,ACH
PAY-0016768,INV-2024-017069,2024-11-06,16522.66,Check
PAY-0008344,INV-2024-008496,2025-04-11,4786.33,ACH
PAY-0007653,INV-2026-007791,2026-03-17,12764.92,ACH
PAY-0015335,INV-2025-015607,2025-04-22,10068.43,ACH
PAY-0011321,INV-2026-011525,2026-03-27,848.85,Check
PAY-0008764,INV-2024-008925,2024-07-23,1647.48,ACH
PAY-0004558,INV-2026-004625,2026-04-01,4699.07,Check
PAY-0010821,INV-2025-011014,2025-07-18,15205.36,ACH
PAY-0012771,INV-2025-013000,2026-03-24,2313.14,Check
PAY-0007701,INV-2026-007840,2026-04-03,1308.91,Check
PAY-0005197,INV-2026-005272,2026-04-28,2354.60,ACH
PAY-0010880,INV-2025-011074,2025-11-11,1236.63,Check
PAY-0003464,INV-2025-003508,2025-06-27,6527.51,Check
PAY-0015724,INV-2026-016011,2026-04-17,23327.41,ACH
PAY-0011458,INV-2024-011662,2024-06-05,6804.89,ACH
PAY-0017878,INV-2026-018196,2026-04-16,4197.24,ACH
PAY-0006102,INV-2025-006197,2025-06-27,3617.66,Card
PAY-0015543,INV-2025-015829,2025-11-14,6846.36,Check
PAY-0003468,INV-2025-003512,2026-02-27,3196.35,Check
PAY-0018251,INV-2024-018578,2024-08-05,4382.34,Wire
PAY-0007305,INV-2026-007427,2026-04-10,2443.18,ACH
PAY-0006595,INV-2025-006698,2025-06-12,11353.79,Check
PAY-0006622,INV-2024-006725,2024-06-26,2545.52,ACH
PAY-0001406,INV-2025-001424,2025-12-25,14137.05,Wire
PAY-0013483,INV-2024-013725,2024-11-22,7197.93,Check
PAY-0010926,INV-2025-011126,2025-05-13,1495.75,ACH
PAY-0009206,INV-2026-009378,2026-04-10,6207.08,Card
PAY-0010922,INV-2024-011120,2024-12-03,2590.80,Check
PAY-0019215,INV-2025-019556,2025-12-05,17279.59,ACH
PAY-0005818,INV-2024-005903,2024-06-17,2592.91,ACH
PAY-0014932,INV-2024-015203,2024-10-09,4290.57,Card
PAY-0000816,INV-2024-000828,2024-10-21,3141.95,ACH
PAY-0011787,INV-2024-011993,2024-09-04,5136.47,Card
PAY-0017398,INV-2025-017709,2025-07-07,5543.47,Check
PAY-0006642,INV-2025-006745,2025-12-09,4492.20,ACH
PAY-0006613,INV-2025-006716,2025-05-06,7023.74,ACH
PAY-0006122,INV-2026-006220,2026-03-12,5302.60,ACH
PAY-0017594,INV-2025-017908,2025-10-10,18241.22,ACH
PAY-0009322,INV-2024-009497,2024-10-23,6618.43,Card
PAY-0011470,INV-2025-011674,2025-10-22,2835.95,Check
PAY-0003251,INV-2025-003292,2025-04-22,4782.94,ACH
PAY-0006474,INV-2024-006576,2024-09-30,2980.93,ACH
PAY-0012752,INV-2024-012979,2024-08-20,2685.20,Wire
PAY-0002551,INV-2024-002579,2024-08-30,3035.30,Card
PAY-0016374,INV-2024-016664,2024-07-26,3080.51,ACH
PAY-0004545,INV-2024-004612,2024-07-05,5437.90,ACH
PAY-0000922,INV-2024-000936,2024-07-08,452.29,ACH
PAY-0015362,INV-2026-015639,2026-04-10,1820.31,Card
PAY-0006985,INV-2026-007097,2026-04-29,2396.40,Check
PAY-0016673,INV-2025-016970,2025-07-09,5269.12,ACH
PAY-0009051,INV-2025-009215,2025-08-08,2878.99,ACH
PAY-0018638,INV-2026-018974,2026-04-08,4669.92,ACH
PAY-0014133,INV-2025-014389,2025-04-14,9162.31,ACH
PAY-0003200,INV-2025-003241,2026-03-06,9031.81,Check
PAY-0016075,INV-2024-016365,2024-10-25,9935.69,ACH
PAY-0006471,INV-2024-006573,2024-06-10,5280.23,Check
PAY-0013952,INV-2025-014204,2026-02-11,10223.74,ACH
PAY-0012751,INV-2024-012978,2024-08-30,1814.17,Check
PAY-0011394,INV-2025-011598,2026-02-11,1078.95,Check
PAY-0003587,INV-2024-003631,2024-09-10,930.60,ACH
PAY-0002899,INV-2024-002934,2025-03-12,2806.83,ACH
PAY-0014514,INV-2025-014779,2025-06-10,8048.31,Check
PAY-0007362,INV-2024-007485,2024-05-17,6168.12,ACH
PAY-0010161,INV-2025-010345,2025-05-23,797.53,ACH
PAY-0006101,INV-2025-006196,2025-05-29,1904.75,ACH
PAY-0004079,INV-2025-004140,2025-09-05,1014.58,Check
PAY-0010159,INV-2024-010343,2025-01-17,6049.63,ACH
PAY-0006585,INV-2024-006688,2025-01-29,18804.93,Card
PAY-0006684,INV-2024-006787,2024-11-01,8317.33,ACH
PAY-0005731,INV-2024-005815,2024-09-02,4825.56,Wire
PAY-0004418,INV-2025-004484,2025-11-21,3887.18,Check
PAY-0009204,INV-2025-009374,2025-10-14,4740.76,Wire
PAY-0004245,INV-2024-004308,2025-01-21,3660.22,Wire
PAY-0004400,INV-2026-004466,2026-03-27,2776.92,Check
PAY-0010234,INV-2024-010419,2024-10-31,11875.80,ACH
PAY-0011489,INV-2025-011694,2025-09-23,12148.71,Check
PAY-0007363,INV-2024-007486,2024-06-26,5410.62,ACH
PAY-0006435,INV-2025-006537,2025-07-22,13706.28,ACH
PAY-0001402,INV-2024-001420,2024-11-15,9256.83,Check
PAY-0016109,INV-2024-016399,2024-06-24,3327.84,Check
PAY-0019137,INV-2026-019477,2026-03-20,2498.32,Check
PAY-0006683,INV-2024-006786,2024-07-17,2993.41,ACH
PAY-0016270,INV-2024-016560,2025-01-03,1994.35,ACH
PAY-0010931,INV-2025-011131,2025-09-26,2598.74,Wire
PAY-0006588,INV-2025-006691,2025-09-04,1712.59,Card
PAY-0006589,INV-2025-006692,2026-01-06,4217.13,ACH
PAY-0007557,INV-2024-007692,2025-02-14,3271.20,ACH
PAY-0012292,INV-2025-012510,2025-05-16,4035.70,Wire
PAY-0000813,INV-2024-000825,2024-06-25,4743.77,ACH
PAY-0016683,INV-2025-016982,2025-03-27,12492.65,ACH
PAY-0016666,INV-2024-016961,2024-06-07,8352.68,ACH
PAY-0017972,INV-2025-018293,2025-09-12,10262.09,ACH
PAY-0016678,INV-2025-016975,2026-02-27,8635.87,ACH
PAY-0017102,INV-2025-017409,2025-12-26,5458.44,Card
PAY-0008470,INV-2024-008624,2025-01-21,7376.82,Wire
PAY-0010450,INV-2026-010639,2026-03-30,5720.51,Check
PAY-0017970,INV-2025-018291,2025-05-02,5206.29,Check
PAY-0008634,INV-2024-008790,2025-02-28,6130.78,Card
PAY-0006473,INV-2024-006575,2024-08-14,5062.56,Check
PAY-0016682,INV-2024-016981,2024-12-27,17853.03,Card
PAY-0005921,INV-2025-006014,2025-08-07,17497.69,Wire
PAY-0001227,INV-2024-001245,2024-10-10,9791.39,ACH
PAY-0004195,INV-2024-004258,2024-08-12,7858.99,ACH
PAY-0005217,INV-2025-005294,2026-03-27,5088.83,Check
PAY-0019322,INV-2024-019667,2024-06-24,671.85,ACH
PAY-0012298,INV-2025-012516,2025-12-09,8088.68,ACH
PAY-0014398,INV-2025-014662,2026-04-07,4359.71,ACH
PAY-0015902,INV-2024-016192,2024-05-24,20454.37,ACH
PAY-0010932,INV-2025-011132,2025-11-10,3450.63,ACH
PAY-0010999,INV-2026-011200,2026-03-20,2933.23,ACH
PAY-0015400,INV-2024-015678,2024-07-30,4362.40,ACH
PAY-0003621,INV-2024-003665,2024-05-24,1626.92,Check
PAY-0019373,INV-2025-019718,2025-10-03,4891.19,ACH
PAY-0013918,INV-2024-014167,2025-02-28,3797.95,ACH
PAY-0002075,INV-2026-002100,2026-03-13,931.34,Wire
PAY-0007492,INV-2024-007623,2024-12-20,5503.10,Check
PAY-0008629,INV-2024-008784,2024-07-19,7061.71,ACH
PAY-0016459,INV-2025-016752,2025-04-17,3415.11,ACH
PAY-0012116,INV-2024-012328,2024-11-29,6313.02,ACH
PAY-0010177,INV-2026-010361,2026-04-10,3433.84,ACH
PAY-0006724,INV-2024-006829,2024-12-05,13833.69,Check
PAY-0017101,INV-2025-017408,2025-11-05,4501.18,Check
PAY-0012413,INV-2026-012633,2026-04-15,2948.13,Check
PAY-0014087,INV-2026-014342,2026-04-10,4801.92,Check
PAY-0009839,INV-2025-010021,2025-07-04,3090.47,ACH
PAY-0008773,INV-2025-008934,2025-04-24,3337.74,Wire
PAY-0006644,INV-2025-006747,2026-01-28,2886.87,Check
PAY-0011392,INV-2025-011596,2025-11-17,7133.95,Check
PAY-0010913,INV-2026-011108,2026-03-09,596.51,ACH
PAY-0007851,INV-2026-007999,2026-04-10,5037.13,Check
PAY-0002382,INV-2025-002407,2025-12-22,7340.37,ACH
PAY-0014517,INV-2025-014782,2026-03-30,14810.32,Check
PAY-0012840,INV-2024-013071,2024-06-28,9383.45,Check
PAY-0001869,INV-2025-001892,2025-08-06,8900.65,ACH
PAY-0015374,INV-2025-015652,2025-08-22,9006.35,ACH
PAY-0011464,INV-2024-011668,2025-01-24,3253.58,ACH
PAY-0013875,INV-2025-014122,2025-11-21,2528.07,ACH
PAY-0006916,INV-2024-007025,2024-11-01,17309.75,ACH
PAY-0016438,INV-2024-016730,2024-10-15,6145.48,Wire
PAY-0017793,INV-2025-018110,2025-05-12,11613.99,ACH
PAY-0000292,INV-2025-000298,2025-08-08,2095.44,ACH
PAY-0017596,INV-2025-017910,2026-02-20,894.05,ACH
PAY-0001721,INV-2025-001744,2025-10-16,4893.44,Card
PAY-0010796,INV-2024-010989,2024-05-03,11273.27,ACH
PAY-0000929,INV-2024-000943,2025-04-14,3290.10,Wire
PAY-0009830,INV-2024-010012,2024-10-17,1285.64,Check
PAY-0017590,INV-2024-017904,2024-06-28,11505.65,Card
PAY-0004419,INV-2025-004485,2025-12-12,1785.16,Check
PAY-0008034,INV-2025-008183,2025-08-15,9879.15,ACH
PAY-0001441,INV-2024-001459,2024-04-05,4766.23,Check
PAY-0016107,INV-2026-016397,2026-04-15,8038.05,ACH
PAY-0016685,INV-2025-016985,2026-01-29,21128.03,ACH
PAY-0007304,INV-2025-007425,2026-02-06,154.79,ACH
PAY-0006691,INV-2025-006794,2026-03-03,7368.41,ACH
PAY-0001404,INV-2025-001422,2025-05-16,1968.57,ACH
PAY-0019326,INV-2024-019671,2025-03-28,2101.15,Card
PAY-0008763,INV-2024-008924,2024-06-14,1289.29,Check
PAY-0006340,INV-2025-006440,2025-05-02,12879.80,Check
PAY-0019341,INV-2025-019686,2025-04-30,6204.14,Check
PAY-0012160,INV-2024-012374,2024-10-08,2623.50,ACH
PAY-0001382,INV-2025-001400,2025-08-15,3530.40,ACH
PAY-0003804,INV-2025-003856,2025-09-29,3490.15,Card
PAY-0004098,INV-2024-004159,2025-03-28,2847.50,Check
PAY-0018400,INV-2025-018732,2026-02-06,4035.37,Check
PAY-0007810,INV-2025-007954,2025-06-10,2245.79,ACH
PAY-0015333,INV-2024-015605,2024-08-19,11399.02,ACH
PAY-0005012,INV-2025-005084,2025-09-09,3308.86,ACH
PAY-0017812,INV-2025-018129,2025-11-17,4987.05,Check
PAY-0009591,INV-2024-009770,2024-04-04,5917.69,Card
PAY-0017814,INV-2025-018131,2026-02-12,2177.14,ACH
PAY-0008585,INV-2024-008740,2024-12-20,100.00,ACH
PAY-0011387,INV-2025-011591,2025-04-25,4539.51,Wire
PAY-0004995,INV-2024-005067,2024-04-03,1784.78,ACH
PAY-0019023,INV-2024-019363,2024-08-21,3587.94,Wire
PAY-0018870,INV-2024-019208,2025-02-14,2739.04,ACH
PAY-0012580,INV-2025-012802,2025-10-15,4088.61,ACH
PAY-0007065,INV-2025-007181,2025-11-27,2749.28,ACH
PAY-0004355,INV-2024-004418,2024-11-26,5329.80,Check
PAY-0012406,INV-2025-012626,2025-06-09,5973.78,Check
PAY-0015508,INV-2025-015794,2026-01-02,17896.06,Card
PAY-0018888,INV-2024-019226,2024-08-05,5538.52,ACH
PAY-0015108,INV-2024-015380,2025-01-31,4408.79,ACH
PAY-0005178,INV-2024-005252,2024-03-22,4049.22,Check
PAY-0004204,INV-2026-004267,2026-03-06,5115.92,Check
PAY-0004077,INV-2024-004137,2024-12-16,3603.93,ACH
PAY-0004611,INV-2024-004680,2025-02-27,2652.52,Check
PAY-0001860,INV-2024-001883,2024-12-18,6418.96,ACH
PAY-0014936,INV-2025-015207,2025-06-10,3966.70,Check
PAY-0010169,INV-2024-010353,2024-08-09,4187.13,Check
PAY-0004276,INV-2024-004339,2024-08-05,644.69,ACH
PAY-0002381,INV-2025-002406,2025-06-20,7886.85,ACH
PAY-0005270,INV-2025-005347,2025-12-19,7008.43,ACH
PAY-0011264,INV-2025-011468,2025-05-08,3068.01,ACH
PAY-0015364,INV-2024-015642,2024-09-27,3946.20,ACH
PAY-0018390,INV-2024-018722,2024-09-27,3786.96,ACH
PAY-0018068,INV-2024-018393,2025-03-07,2389.66,ACH
PAY-0012409,INV-2025-012629,2025-10-23,5625.43,ACH
PAY-0007563,INV-2025-007698,2025-11-20,4470.87,ACH
PAY-0018972,INV-2024-019311,2024-11-20,4347.61,ACH
PAY-0001459,INV-2026-001477,2026-03-02,5151.10,ACH
PAY-0007635,INV-2025-007770,2025-05-06,3108.96,ACH
PAY-0006978,INV-2025-007090,2025-05-26,1375.17,Check
PAY-0008506,INV-2025-008661,2025-08-29,993.54,Check
PAY-0001379,INV-2025-001397,2025-04-10,3067.29,ACH
PAY-0015471,INV-2024-015753,2024-08-16,6095.27,ACH
PAY-0006974,INV-2024-007086,2024-12-20,3431.15,ACH
PAY-0000954,INV-2025-000969,2025-07-11,5898.19,ACH
PAY-0000890,INV-2024-000903,2024-10-18,8836.61,Check
PAY-0000856,INV-2025-000869,2025-07-15,4093.39,ACH
PAY-0005182,INV-2024-005257,2024-10-15,6779.30,Card
PAY-0000650,INV-2025-000662,2026-01-23,5399.12,Check
PAY-0014409,INV-2024-014673,2025-01-30,2130.28,Check
PAY-0014741,INV-2024-015008,2025-01-17,4586.25,Check
PAY-0019033,INV-2025-019373,2025-10-10,6731.18,ACH
PAY-0005827,INV-2025-005914,2025-04-23,2750.43,ACH
PAY-0008552,INV-2026-008707,2026-02-17,6739.35,Check
PAY-0008502,INV-2025-008657,2025-03-20,3738.70,ACH
PAY-0010066,INV-2024-010250,2025-02-21,4180.31,ACH
PAY-0008926,INV-2025-009087,2025-08-18,3658.96,Check
PAY-0010270,INV-2025-010455,2025-06-11,6207.64,ACH
PAY-0019105,INV-2024-019445,2025-02-05,5743.83,ACH
PAY-0011663,INV-2026-011868,2026-04-13,6208.10,ACH
PAY-0018139,INV-2025-018465,2025-10-24,3674.60,ACH
PAY-0001987,INV-2024-002011,2024-04-26,100.00,Check
PAY-0015865,INV-2024-016155,2024-10-04,475.87,ACH
PAY-0006998,INV-2025-007111,2025-10-31,8362.35,Check
PAY-0010888,INV-2024-011083,2024-04-25,3167.99,ACH
PAY-0000048,INV-2025-000048,2025-03-11,3510.73,Check
PAY-0006525,INV-2025-006628,2025-08-04,3045.02,ACH
PAY-0018278,INV-2024-018607,2024-11-04,4919.93,ACH
PAY-0016424,INV-2024-016716,2024-12-05,2744.09,ACH
PAY-0015750,INV-2024-016038,2025-01-03,3245.30,Card
PAY-0005194,INV-2025-005269,2026-01-22,2477.24,ACH
PAY-0012196,INV-2025-012411,2025-10-21,13573.50,ACH
PAY-0017877,INV-2026-018195,2026-02-27,2575.88,Check
PAY-0003346,INV-2026-003389,2026-04-10,4041.45,Check
PAY-0004628,INV-2026-004698,2026-04-23,17602.58,ACH
PAY-0016762,INV-2024-017062,2025-01-20,12749.07,ACH
PAY-0010178,INV-2024-010363,2024-05-17,12941.77,ACH
PAY-0015744,INV-2024-016032,2024-05-07,3013.61,Check
PAY-0008835,INV-2025-008996,2025-08-22,7186.82,Card
PAY-0017643,INV-2024-017958,2024-11-29,5737.32,ACH
PAY-0000939,INV-2026-000954,2026-03-11,2740.13,Check
PAY-0009257,INV-2025-009430,2026-01-09,3872.42,ACH
PAY-0018633,INV-2025-018969,2025-08-28,3688.59,ACH
PAY-0012027,INV-2026-012239,2026-04-17,4788.02,ACH
PAY-0001866,INV-2024-001889,2024-04-22,10359.47,Card
PAY-0009838,INV-2025-010020,2025-06-03,2721.87,ACH
PAY-0003763,INV-2024-003814,2024-07-19,18218.97,Card
PAY-0010503,INV-2026-010693,2026-04-24,16884.40,ACH
PAY-0018028,INV-2024-018350,2024-09-03,2480.72,Check
PAY-0001867,INV-2024-001890,2024-12-02,7165.61,ACH
PAY-0007813,INV-2025-007957,2025-10-31,4105.70,ACH
PAY-0003878,INV-2025-003932,2025-06-20,3160.17,Check
PAY-0016909,INV-2024-017211,2024-06-21,4243.90,ACH
PAY-0002909,INV-2026-002947,2026-04-15,2144.94,Check
PAY-0004555,INV-2025-004622,2025-10-31,4318.71,Check
PAY-0008615,INV-2025-008770,2025-03-24,3759.67,ACH
PAY-0002891,INV-2024-002926,2024-04-29,3394.94,ACH
PAY-0002126,INV-2025-002151,2025-10-02,2925.67,ACH
PAY-0009806,INV-2025-009988,2025-03-21,1061.14,ACH
PAY-0015026,INV-2024-015298,2024-11-22,5558.90,ACH
PAY-0013097,INV-2025-013333,2025-12-19,11837.36,ACH
PAY-0004259,INV-2026-004322,2026-03-20,3335.17,ACH
PAY-0007640,INV-2025-007775,2025-10-01,1726.70,ACH
PAY-0001141,INV-2025-001157,2025-05-20,6248.17,ACH
PAY-0014135,INV-2025-014391,2025-12-22,14871.60,ACH
PAY-0008457,INV-2024-008611,2024-04-19,7740.73,ACH
PAY-0019377,INV-2026-019722,2026-02-04,4268.29,Check
PAY-0000584,INV-2025-000596,2025-07-11,7438.96,ACH
PAY-0015579,INV-2025-015865,2025-05-22,12863.82,Check
PAY-0005828,INV-2025-005915,2025-05-14,1690.94,ACH
PAY-0003497,INV-2024-003541,2025-01-07,16913.22,ACH
PAY-0009060,INV-2025-009227,2026-02-13,7473.82,ACH
PAY-0016631,INV-2024-016926,2024-03-19,3928.90,Card
PAY-0008566,INV-2025-008721,2025-06-20,13778.98,Wire
PAY-0018546,INV-2025-018880,2025-10-28,5576.83,ACH
PAY-0009358,INV-2024-009534,2024-08-28,9613.53,ACH
PAY-0006791,INV-2025-006897,2025-06-27,7664.45,ACH
PAY-0005681,INV-2025-005763,2025-09-23,100.00,ACH
PAY-0014093,INV-2024-014349,2024-09-24,4227.63,ACH
PAY-0005518,INV-2026-005598,2026-04-15,1864.40,Check
PAY-0002576,INV-2024-002606,2025-04-18,7103.16,ACH
