invoice_id,customer_id,invoice_date,due_date,amount,status_id
INV-2025-000048,C-01003,2025-01-03,2025-02-02,3510.73,3
INV-2025-000049,C-01003,2025-02-06,2025-03-08,3643.11,3
INV-2025-000050,C-01003,2025-03-12,2025-04-11,1431.99,3
INV-2025-000051,C-01003,2025-04-29,2025-05-29,2407.44,3
INV-2025-000052,C-01003,2025-06-06,2025-07-06,3318.62,3
INV-2025-000053,C-01003,2025-07-24,2025-08-23,2285.26,3
INV-2025-000054,C-01003,2025-09-02,2025-10-02,1204.84,3
INV-2025-000055,C-01003,2025-10-09,2025-11-08,1257.90,3
INV-2025-000056,C-01003,2025-11-07,2025-12-07,2489.90,3
INV-2025-000057,C-01003,2025-12-31,2026-01-30,2003.67,3
INV-2026-000058,C-01003,2026-02-03,2026-03-05,2633.98,3
INV-2026-000059,C-01003,2026-03-03,2026-04-02,1306.54,1
INV-2026-000060,C-01003,2026-04-24,2026-05-24,2081.92,1
INV-2024-000061,C-01004,2024-02-09,2024-02-09,5781.19,3
INV-2024-000062,C-01004,2024-04-23,2024-04-23,5578.59,3
INV-2024-000063,C-01004,2024-07-02,2024-07-02,3292.65,3
INV-2024-000064,C-01004,2024-08-27,2024-08-27,2306.04,3
INV-2024-000065,C-01004,2024-09-25,2024-09-25,4842.80,3
INV-2025-000066,C-01004,2025-01-14,2025-01-14,5563.61,1
INV-2025-000067,C-01004,2025-02-11,2025-02-11,4813.48,1
INV-2025-000068,C-01004,2025-05-02,2025-05-02,4279.70,1
INV-2025-000069,C-01004,2025-06-27,2025-06-27,5350.98,3
INV-2025-000070,C-01004,2025-08-27,2025-08-27,6169.62,3
INV-2025-000071,C-01004,2025-11-07,2025-11-07,4466.40,3
INV-2026-000072,C-01004,2026-02-10,2026-02-10,4414.27,3
INV-2026-000073,C-01004,2026-04-10,2026-04-10,5147.30,3
INV-2024-000074,C-01005,2024-01-12,2024-02-11,5117.50,3
INV-2024-000075,C-01005,2024-03-12,2024-04-11,3246.70,3
INV-2024-000076,C-01005,2024-04-12,2024-05-12,1561.57,3
INV-2024-000077,C-01005,2024-05-15,2024-06-14,3048.24,3
INV-2024-000078,C-01005,2024-06-27,2024-07-27,4533.95,3
INV-2024-000079,C-01005,2024-07-30,2024-08-29,7098.69,3
INV-2024-000080,C-01005,2024-09-18,2024-10-18,2734.57,3
INV-2024-000081,C-01005,2024-10-29,2024-11-28,5948.55,3
INV-2024-000082,C-01005,2024-11-29,2024-12-29,3874.73,3
INV-2024-000083,C-01005,2024-12-27,2025-01-26,5783.37,3
INV-2025-000084,C-01005,2025-01-31,2025-03-02,3401.59,3
INV-2025-000085,C-01005,2025-03-31,2025-04-30,3239.02,3
INV-2025-000086,C-01005,2025-04-17,2025-05-17,3254.49,3
INV-2025-000087,C-01005,2025-06-03,2025-07-03,5774.08,3
INV-2025-000088,C-01005,2025-06-27,2025-07-27,3949.32,3
INV-2025-000089,C-01005,2025-08-19,2025-09-18,2017.19,3
INV-2025-000090,C-01005,2025-09-19,2025-10-19,2097.81,3
INV-2025-000091,C-01005,2025-11-18,2025-12-18,6706.95,3
INV-2025-000092,C-01005,2025-12-26,2026-01-25,4782.16,3
INV-2026-000093,C-01005,2026-01-09,2026-02-08,4742.85,3
INV-2026-000094,C-01005,2026-03-06,2026-04-05,3295.04,3
INV-2026-000095,C-01005,2026-04-01,2026-05-01,7383.34,1
INV-2024-000096,C-01006,2024-01-08,2024-02-22,4445.24,3
INV-2024-000097,C-01006,2024-02-26,2024-04-11,1281.84,3
INV-2024-000098,C-01006,2024-05-08,2024-06-22,6267.57,3
INV-2024-000099,C-01006,2024-06-14,2024-07-29,3105.38,3
INV-2024-000100,C-01006,2024-07-03,2024-08-17,4122.01,3
INV-2024-000101,C-01006,2024-08-19,2024-10-03,5318.74,3
INV-2024-000102,C-01006,2024-10-18,2024-12-02,4747.16,3
INV-2024-000103,C-01006,2024-12-05,2025-01-19,3588.97,3
INV-2024-000104,C-01006,2024-12-30,2025-02-13,3627.35,3
INV-2025-000105,C-01006,2025-02-11,2025-03-28,4751.80,3
INV-2025-000106,C-01006,2025-04-22,2025-06-06,5000.00,3
INV-2025-000107,C-01006,2025-05-20,2025-07-04,6864.70,3
INV-2025-000108,C-01006,2025-07-04,2025-08-18,4858.90,3
INV-2025-000109,C-01006,2025-08-25,2025-10-09,3033.98,3
INV-2025-000110,C-01006,2025-10-03,2025-11-17,2655.18,3
INV-2025-000111,C-01006,2025-12-02,2026-01-16,3804.21,3
INV-2026-000112,C-01006,2026-01-22,2026-03-08,1643.37,3
INV-2026-000113,C-01006,2026-02-11,2026-03-28,1410.62,3
INV-2026-000114,C-01006,2026-04-06,2026-05-21,4331.28,1
INV-2024-000115,C-01007,2024-04-01,2024-05-01,6270.70,3
INV-2024-000116,C-01007,2024-06-05,2024-07-05,16290.50,3
INV-2025-000117,C-01007,2025-01-10,2025-02-09,6629.32,3
INV-2025-000118,C-01007,2025-05-22,2025-06-21,16014.03,3
INV-2025-000119,C-01007,2025-09-05,2025-10-05,7641.63,3
INV-2026-000120,C-01007,2026-03-09,2026-04-08,6518.98,3
INV-2024-000121,C-01008,2024-01-23,2024-01-23,1632.60,3
INV-2024-000122,C-01008,2024-03-08,2024-03-08,3289.93,3
INV-2024-000123,C-01008,2024-04-01,2024-04-01,3968.87,3
INV-2024-000124,C-01008,2024-05-21,2024-05-21,2171.09,3
INV-2024-000125,C-01008,2024-05-31,2024-05-31,3820.43,3
INV-2024-000126,C-01008,2024-07-12,2024-07-12,3565.47,3
INV-2024-000127,C-01008,2024-09-09,2024-09-09,1405.85,3
INV-2024-000128,C-01008,2024-09-20,2024-09-20,2225.43,3
INV-2024-000129,C-01008,2024-11-05,2024-11-05,2977.09,3
INV-2024-000130,C-01008,2024-12-16,2024-12-16,2019.83,3
INV-2025-000131,C-01008,2025-01-10,2025-01-10,3464.69,3
INV-2025-000132,C-01008,2025-02-21,2025-02-21,2037.46,3
INV-2025-000133,C-01008,2025-04-18,2025-04-18,3034.28,3
INV-2025-000134,C-01008,2025-05-26,2025-05-26,2836.15,3
INV-2025-000135,C-01008,2025-06-25,2025-06-25,4297.92,3
INV-2025-000136,C-01008,2025-07-30,2025-07-30,2644.88,3
INV-2025-000137,C-01008,2025-09-04,2025-09-04,100.00,3
INV-2025-000138,C-01008,2025-10-01,2025-10-01,2442.06,3
INV-2025-000139,C-01008,2025-11-19,2025-11-19,595.99,3
INV-2025-000140,C-01008,2025-12-26,2025-12-26,179.62,3
INV-2026-000141,C-01008,2026-01-26,2026-01-26,1726.69,3
INV-2026-000142,C-01008,2026-03-04,2026-03-04,3516.31,3
INV-2026-000143,C-01008,2026-04-08,2026-04-08,2780.48,3
INV-2024-000144,C-01009,2024-02-14,2024-03-15,2747.91,3
INV-2024-000145,C-01009,2024-03-29,2024-04-28,4349.79,3
INV-2024-000146,C-01009,2024-04-19,2024-05-19,2531.15,3
INV-2024-000147,C-01009,2024-06-13,2024-07-13,4298.84,3
INV-2024-000148,C-01009,2024-08-12,2024-09-11,3258.86,3
INV-2024-000149,C-01009,2024-09-23,2024-10-23,4354.40,3
INV-2024-000150,C-01009,2024-11-01,2024-12-01,6551.50,3
INV-2024-000151,C-01009,2024-12-27,2025-01-26,4832.00,3
INV-2025-000152,C-01009,2025-03-11,2025-04-10,7677.46,3
INV-2025-000153,C-01009,2025-04-04,2025-05-04,2869.79,3
INV-2025-000154,C-01009,2025-06-13,2025-07-13,4748.81,3
INV-2025-000155,C-01009,2025-07-28,2025-08-27,4598.40,3
INV-2025-000156,C-01009,2025-10-03,2025-11-02,6146.65,3
INV-2025-000157,C-01009,2025-10-31,2025-11-30,3195.43,3
INV-2026-000158,C-01009,2026-01-13,2026-02-12,3352.21,3
INV-2026-000159,C-01009,2026-02-17,2026-03-19,4116.03,3
INV-2026-000160,C-01009,2026-03-17,2026-04-16,5875.13,3
INV-2024-000161,C-01010,2024-07-17,2024-08-16,9118.03,3
INV-2025-000162,C-01010,2025-02-14,2025-03-16,5738.72,3
INV-2026-000163,C-01010,2026-03-10,2026-04-09,11751.30,3
INV-2024-000164,C-01011,2024-01-30,2024-02-29,6310.16,3
INV-2024-000165,C-01011,2024-02-29,2024-03-30,4599.96,3
INV-2024-000166,C-01011,2024-04-19,2024-05-19,4142.44,3
INV-2024-000167,C-01011,2024-05-10,2024-06-09,2597.74,3
INV-2024-000168,C-01011,2024-07-02,2024-08-01,4045.17,3
INV-2024-000169,C-01011,2024-08-09,2024-09-08,7223.62,3
INV-2024-000170,C-01011,2024-09-25,2024-10-25,5688.17,3
INV-2024-000171,C-01011,2024-11-07,2024-12-07,2940.40,3
INV-2024-000172,C-01011,2024-12-02,2025-01-01,4535.45,3
INV-2025-000173,C-01011,2025-01-14,2025-02-13,5174.18,3
INV-2025-000174,C-01011,2025-02-21,2025-03-23,3513.91,3
INV-2025-000175,C-01011,2025-04-01,2025-05-01,4882.13,1
INV-2025-000176,C-01011,2025-06-04,2025-07-04,5575.81,3
INV-2025-000177,C-01011,2025-06-20,2025-07-20,2733.37,3
INV-2025-000178,C-01011,2025-08-04,2025-09-03,5145.95,3
INV-2025-000179,C-01011,2025-10-03,2025-11-02,3588.90,3
INV-2025-000180,C-01011,2025-10-29,2025-11-28,3684.03,3
INV-2025-000181,C-01011,2025-12-05,2026-01-04,7360.23,4
INV-2026-000182,C-01011,2026-01-23,2026-02-22,1723.46,3
INV-2026-000183,C-01011,2026-03-13,2026-04-12,4016.63,3
INV-2026-000184,C-01011,2026-04-24,2026-05-24,4281.26,1
INV-2024-000185,C-01012,2024-02-13,2024-03-29,1610.59,3
INV-2024-000186,C-01012,2024-04-04,2024-05-19,4038.98,3
INV-2024-000187,C-01012,2024-04-23,2024-06-07,3783.35,3
INV-2024-000188,C-01012,2024-06-19,2024-08-03,6152.42,3
INV-2024-000189,C-01012,2024-08-16,2024-09-30,5056.11,3
INV-2024-000190,C-01012,2024-09-23,2024-11-07,5586.51,3
INV-2024-000191,C-01012,2024-11-14,2024-12-29,6670.08,3
INV-2024-000192,C-01012,2024-12-31,2025-02-14,1701.86,3
INV-2025-000193,C-01012,2025-03-13,2025-04-27,3251.60,3
INV-2025-000194,C-01012,2025-04-17,2025-06-01,7073.82,3
INV-2025-000195,C-01012,2025-05-30,2025-07-14,2512.15,3
INV-2025-000196,C-01012,2025-08-08,2025-09-22,5716.77,3
INV-2025-000197,C-01012,2025-09-03,2025-10-18,5324.17,3
INV-2025-000198,C-01012,2025-10-20,2025-12-04,4138.84,3
INV-2026-000199,C-01012,2026-01-06,2026-02-20,3831.09,3
INV-2026-000200,C-01012,2026-01-27,2026-03-13,2469.47,3
INV-2026-000201,C-01012,2026-03-26,2026-05-10,3931.18,1
INV-2024-000202,C-01013,2024-02-09,2024-03-25,11813.47,3
INV-2024-000203,C-01013,2024-06-05,2024-07-20,15106.29,1
INV-2024-000204,C-01013,2024-06-28,2024-08-12,12645.89,3
INV-2024-000205,C-01013,2024-09-27,2024-11-11,16167.43,3
INV-2024-000206,C-01013,2024-12-27,2025-02-10,10722.80,3
INV-2025-000207,C-01013,2025-04-25,2025-06-09,18842.97,1
INV-2025-000208,C-01013,2025-06-20,2025-08-04,8778.32,3
INV-2025-000209,C-01013,2025-10-17,2025-12-01,11746.85,3
INV-2025-000210,C-01013,2025-12-29,2026-02-12,8433.04,3
INV-2026-000211,C-01013,2026-03-09,2026-04-23,6594.98,4
INV-2024-000212,C-01014,2024-01-22,2024-02-06,3471.44,3
INV-2024-000213,C-01014,2024-02-07,2024-02-22,3179.85,3
INV-2024-000214,C-01014,2024-03-25,2024-04-09,616.14,3
INV-2024-000215,C-01014,2024-04-30,2024-05-15,219.46,3
INV-2024-000216,C-01014,2024-05-10,2024-05-25,2504.79,3
INV-2024-000217,C-01014,2024-06-14,2024-06-29,1475.37,3
INV-2024-000218,C-01014,2024-07-26,2024-08-10,2720.20,3
INV-2024-000219,C-01014,2024-08-20,2024-09-04,2962.01,3
INV-2024-000220,C-01014,2024-09-24,2024-10-09,3755.59,3
INV-2024-000221,C-01014,2024-10-15,2024-10-30,2718.53,3
INV-2024-000222,C-01014,2024-11-18,2024-12-03,2143.99,3
INV-2024-000223,C-01014,2024-12-17,2025-01-01,1687.42,3
INV-2025-000224,C-01014,2025-01-31,2025-02-15,2578.51,3
INV-2025-000225,C-01014,2025-02-28,2025-03-15,2752.66,3
INV-2025-000226,C-01014,2025-03-26,2025-04-10,2529.06,3
INV-2025-000227,C-01014,2025-05-02,2025-05-17,1831.21,3
INV-2025-000228,C-01014,2025-06-13,2025-06-28,2714.18,3
INV-2025-000229,C-01014,2025-07-07,2025-07-22,4258.22,3
INV-2025-000230,C-01014,2025-08-11,2025-08-26,3946.37,3
INV-2025-000231,C-01014,2025-09-10,2025-09-25,770.14,3
INV-2025-000232,C-01014,2025-10-17,2025-11-01,3335.20,3
INV-2025-000233,C-01014,2025-10-28,2025-11-12,426.27,3
INV-2025-000234,C-01014,2025-12-08,2025-12-23,3354.50,3
INV-2026-000235,C-01014,2026-01-09,2026-01-24,4674.26,3
INV-2026-000236,C-01014,2026-01-30,2026-02-14,5291.96,3
INV-2026-000237,C-01014,2026-03-26,2026-04-10,1764.57,3
INV-2026-000238,C-01014,2026-04-23,2026-05-08,960.46,1
INV-2024-000239,C-01015,2024-04-15,2024-05-30,12103.47,3
INV-2024-000240,C-01015,2024-07-19,2024-09-02,8080.42,3
INV-2025-000241,C-01015,2025-04-18,2025-06-02,13574.48,3
INV-2025-000242,C-01015,2025-10-10,2025-11-24,10174.18,3
INV-2026-000243,C-01015,2026-01-09,2026-02-23,5996.97,3
INV-2024-000244,C-01016,2024-02-02,2024-02-17,5055.82,3
INV-2024-000245,C-01016,2024-04-08,2024-04-23,385.18,3
INV-2024-000246,C-01016,2024-07-11,2024-07-26,4997.20,3
INV-2024-000247,C-01016,2024-09-18,2024-10-03,5530.12,3
INV-2025-000248,C-01016,2025-01-03,2025-01-18,5173.30,3
INV-2025-000249,C-01016,2025-03-27,2025-04-11,2998.90,3
INV-2025-000250,C-01016,2025-05-13,2025-05-28,6679.72,3
INV-2025-000251,C-01016,2025-08-01,2025-08-16,3337.64,3
INV-2025-000252,C-01016,2025-09-29,2025-10-14,5001.97,3
INV-2026-000253,C-01016,2026-01-23,2026-02-07,4462.39,3
INV-2026-000254,C-01016,2026-04-06,2026-04-21,2589.80,3
INV-2024-000255,C-01017,2024-01-26,2024-02-25,15712.43,3
INV-2024-000256,C-01017,2024-04-30,2024-05-30,16267.45,3
INV-2024-000257,C-01017,2024-10-07,2024-11-06,18903.85,3
INV-2024-000258,C-01017,2024-11-26,2024-12-26,10775.24,3
INV-2025-000259,C-01017,2025-04-25,2025-05-25,5722.21,3
INV-2025-000260,C-01017,2025-06-27,2025-07-27,6618.45,3
INV-2025-000261,C-01017,2025-10-14,2025-11-13,9337.09,3
INV-2026-000262,C-01017,2026-03-20,2026-04-19,8933.81,1
INV-2024-000263,C-01018,2024-02-06,2024-03-22,5925.79,3
INV-2024-000264,C-01018,2024-03-04,2024-04-18,3136.39,3
INV-2024-000265,C-01018,2024-05-28,2024-07-12,1448.69,3
INV-2024-000266,C-01018,2024-06-14,2024-07-29,3698.20,3
INV-2024-000267,C-01018,2024-08-09,2024-09-23,2458.51,3
INV-2024-000268,C-01018,2024-10-03,2024-11-17,4193.12,3
INV-2024-000269,C-01018,2024-12-24,2025-02-07,2767.06,3
INV-2025-000270,C-01018,2025-02-07,2025-03-24,7399.14,3
INV-2025-000271,C-01018,2025-03-14,2025-04-28,3736.28,3
INV-2025-000272,C-01018,2025-05-30,2025-07-14,4145.77,3
INV-2025-000273,C-01018,2025-06-20,2025-08-04,4139.37,3
INV-2025-000274,C-01018,2025-09-04,2025-10-19,6833.04,3
INV-2025-000275,C-01018,2025-11-14,2025-12-29,4345.07,3
INV-2025-000276,C-01018,2025-12-26,2026-02-09,6156.14,3
INV-2026-000277,C-01018,2026-01-23,2026-03-09,5988.63,3
INV-2026-000278,C-01018,2026-04-03,2026-05-18,4038.65,1
INV-2024-000279,C-01019,2024-04-02,2024-05-02,8122.11,3
INV-2024-000280,C-01019,2024-06-19,2024-07-19,13755.94,3
INV-2024-000281,C-01019,2024-10-11,2024-11-10,15076.52,3
INV-2025-000282,C-01019,2025-02-11,2025-03-13,22334.25,3
INV-2025-000283,C-01019,2025-05-30,2025-06-29,19706.05,3
INV-2025-000284,C-01019,2025-07-09,2025-08-08,13016.61,3
INV-2025-000285,C-01019,2025-12-30,2026-01-29,7343.84,3
INV-2026-000286,C-01019,2026-03-31,2026-04-30,13561.68,3
INV-2024-000287,C-01020,2024-01-23,2024-02-22,4273.79,3
INV-2024-000288,C-01020,2024-02-27,2024-03-28,3443.40,3
INV-2024-000289,C-01020,2024-04-19,2024-05-19,3587.31,3
INV-2024-000290,C-01020,2024-05-31,2024-06-30,5367.97,3
INV-2024-000291,C-01020,2024-06-24,2024-07-24,9095.58,3
INV-2024-000292,C-01020,2024-08-07,2024-09-06,7443.87,3
INV-2024-000293,C-01020,2024-09-30,2024-10-30,333.18,3
INV-2024-000294,C-01020,2024-11-07,2024-12-07,1134.55,3
INV-2025-000295,C-01020,2025-01-10,2025-02-09,8301.57,1
INV-2025-000296,C-01020,2025-02-07,2025-03-09,3045.75,1
INV-2025-000297,C-01020,2025-04-01,2025-05-01,320.00,3
INV-2025-000298,C-01020,2025-04-18,2025-05-18,2095.44,3
INV-2025-000299,C-01020,2025-06-19,2025-07-19,3551.06,3
INV-2025-000300,C-01020,2025-07-28,2025-08-27,6822.28,3
INV-2025-000301,C-01020,2025-09-24,2025-10-24,4880.38,3
INV-2025-000302,C-01020,2025-10-30,2025-11-29,5208.34,3
INV-2025-000303,C-01020,2025-12-05,2026-01-04,2574.99,3
INV-2026-000304,C-01020,2026-01-23,2026-02-22,5238.57,3
INV-2026-000305,C-01020,2026-02-27,2026-03-29,4368.77,3
INV-2026-000306,C-01020,2026-04-20,2026-05-20,5519.04,1
INV-2024-000307,C-01021,2024-02-20,2024-03-21,1489.80,3
INV-2024-000308,C-01021,2024-03-29,2024-04-28,1498.64,3
INV-2024-000309,C-01021,2024-06-12,2024-07-12,1012.53,3
INV-2024-000310,C-01021,2024-07-26,2024-08-25,2644.63,3
INV-2024-000311,C-01021,2024-09-27,2024-10-27,3351.08,3
INV-2024-000312,C-01021,2024-11-29,2024-12-29,2067.42,3
INV-2025-000313,C-01021,2025-01-07,2025-02-06,3441.94,4
INV-2025-000314,C-01021,2025-04-14,2025-05-14,119.95,3
INV-2025-000315,C-01021,2025-05-07,2025-06-06,2516.82,3
INV-2025-000316,C-01021,2025-08-18,2025-09-17,3971.60,3
INV-2025-000317,C-01021,2025-10-22,2025-11-21,2178.26,3
INV-2025-000318,C-01021,2025-11-07,2025-12-07,2638.62,3
INV-2026-000319,C-01021,2026-02-05,2026-03-07,1676.61,3
INV-2026-000320,C-01021,2026-03-10,2026-04-09,2913.09,3
INV-2024-000321,C-01022,2024-01-11,2024-02-25,4854.21,3
INV-2024-000322,C-01022,2024-04-05,2024-05-20,3917.76,3
INV-2024-000323,C-01022,2024-07-12,2024-08-26,1968.37,3
INV-2024-000324,C-01022,2024-08-30,2024-10-14,2725.12,3
INV-2024-000325,C-01022,2024-10-31,2024-12-15,8321.84,3
INV-2025-000326,C-01022,2025-02-05,2025-03-22,5430.65,3
INV-2025-000327,C-01022,2025-03-18,2025-05-02,1679.72,3
INV-2025-000328,C-01022,2025-07-09,2025-08-23,5852.62,3
INV-2025-000329,C-01022,2025-08-01,2025-09-15,3550.46,3
INV-2025-000330,C-01022,2025-10-31,2025-12-15,2596.67,3
INV-2026-000331,C-01022,2026-01-26,2026-03-12,5020.40,3
INV-2026-000332,C-01022,2026-04-10,2026-05-25,3592.33,3
INV-2024-000333,C-01023,2024-05-24,2024-06-23,4724.61,3
INV-2025-000334,C-01023,2025-06-06,2025-07-06,8167.91,3
INV-2025-000335,C-01023,2025-10-10,2025-11-09,4641.84,3
INV-2024-000336,C-01024,2024-01-19,2024-02-03,6837.72,3
INV-2024-000337,C-01024,2024-05-03,2024-05-18,11855.89,3
INV-2024-000338,C-01024,2024-07-18,2024-08-02,4875.44,3
INV-2024-000339,C-01024,2024-09-24,2024-10-09,7186.39,3
INV-2025-000340,C-01024,2025-01-17,2025-02-01,13215.23,3
INV-2025-000341,C-01024,2025-03-24,2025-04-08,8227.33,3
INV-2025-000342,C-01024,2025-07-24,2025-08-08,100.00,3
INV-2025-000343,C-01024,2025-09-11,2025-09-26,12554.32,3
INV-2026-000344,C-01024,2026-01-12,2026-01-27,11244.55,3
INV-2026-000345,C-01024,2026-04-08,2026-04-23,9516.16,3
INV-2024-000346,C-01025,2024-02-09,2024-03-25,100.00,3
INV-2024-000347,C-01025,2024-06-20,2024-08-04,19183.66,3
INV-2024-000348,C-01025,2024-10-04,2024-11-18,5010.22,3
INV-2025-000349,C-01025,2025-01-15,2025-03-01,11810.05,3
INV-2025-000350,C-01025,2025-05-23,2025-07-07,13287.75,3
INV-2025-000351,C-01025,2025-09-08,2025-10-23,6004.93,3
INV-2026-000352,C-01025,2026-01-02,2026-02-16,21125.37,3
INV-2026-000353,C-01025,2026-03-05,2026-04-19,100.00,3
INV-2024-000354,C-01026,2024-02-09,2024-02-24,11964.59,3
INV-2024-000355,C-01026,2024-06-24,2024-07-09,10715.37,3
INV-2024-000356,C-01026,2024-11-01,2024-11-16,5959.24,3
INV-2025-000357,C-01026,2025-01-01,2025-01-16,15961.08,3
INV-2025-000358,C-01026,2025-04-22,2025-05-07,16384.75,3
INV-2025-000359,C-01026,2025-09-10,2025-09-25,9746.57,3
INV-2025-000360,C-01026,2025-10-31,2025-11-15,2723.66,3
INV-2026-000361,C-01026,2026-01-23,2026-02-07,7698.16,3
INV-2024-000362,C-01027,2024-04-15,2024-05-15,21210.17,3
INV-2024-000363,C-01027,2024-05-31,2024-06-30,15109.38,3
INV-2024-000364,C-01027,2024-11-27,2024-12-27,8263.34,3
INV-2025-000365,C-01027,2025-03-18,2025-04-17,17060.49,3
INV-2025-000366,C-01027,2025-05-21,2025-06-20,15280.23,3
INV-2025-000367,C-01027,2025-10-09,2025-11-08,12019.06,3
INV-2026-000368,C-01027,2026-04-14,2026-05-14,16539.37,1
INV-2024-000369,C-01028,2024-02-13,2024-03-14,4915.01,3
INV-2024-000370,C-01028,2024-04-22,2024-05-22,7730.77,3
INV-2024-000371,C-01028,2024-06-18,2024-07-18,5961.99,3
INV-2024-000372,C-01028,2024-07-10,2024-08-09,3675.41,3
INV-2024-000373,C-01028,2024-10-18,2024-11-17,5539.12,3
INV-2024-000374,C-01028,2024-12-12,2025-01-11,2244.55,3
INV-2025-000375,C-01028,2025-02-07,2025-03-09,5575.90,3
INV-2025-000376,C-01028,2025-03-25,2025-04-24,3813.39,3
INV-2025-000377,C-01028,2025-05-08,2025-06-07,4103.97,3
INV-2025-000378,C-01028,2025-08-22,2025-09-21,5355.84,3
INV-2025-000379,C-01028,2025-09-17,2025-10-17,5128.73,3
INV-2025-000380,C-01028,2025-11-05,2025-12-05,3394.70,3
INV-2026-000381,C-01028,2026-01-16,2026-02-15,5195.48,3
INV-2026-000382,C-01028,2026-03-18,2026-04-17,5489.79,3
INV-2024-000383,C-01029,2024-02-07,2024-03-08,4974.79,3
INV-2024-000384,C-01029,2024-02-28,2024-03-29,1790.00,3
INV-2024-000385,C-01029,2024-04-25,2024-05-25,2969.93,3
INV-2024-000386,C-01029,2024-06-07,2024-07-07,5668.88,3
INV-2024-000387,C-01029,2024-08-15,2024-09-14,6067.62,3
INV-2024-000388,C-01029,2024-09-13,2024-10-13,2727.29,3
INV-2024-000389,C-01029,2024-11-01,2024-12-01,5745.57,3
INV-2024-000390,C-01029,2024-12-20,2025-01-19,4995.19,3
INV-2025-000391,C-01029,2025-01-22,2025-02-21,5234.35,3
INV-2025-000392,C-01029,2025-03-25,2025-04-24,3168.62,3
INV-2025-000393,C-01029,2025-04-28,2025-05-28,5614.84,1
INV-2025-000394,C-01029,2025-06-27,2025-07-27,2807.91,1
INV-2025-000395,C-01029,2025-08-20,2025-09-19,5041.67,3
INV-2025-000396,C-01029,2025-10-06,2025-11-05,4594.45,3
INV-2025-000397,C-01029,2025-11-20,2025-12-20,5058.79,3
INV-2026-000398,C-01029,2026-01-06,2026-02-05,5563.05,3
INV-2026-000399,C-01029,2026-03-06,2026-04-05,7511.86,3
